"","x","y","z"
"X1","2022-01-10","2.00","290.99"
"X3","2022-01-24","4.00","290.99"
"X6","2022-02-28","2.00","290.99"
"X10","2022-04-11","4.00","320.67"
"X13","2022-05-30","4.00","320.67"
"X15","2022-06-27","5.00","320.67"
"X18","2022-08-01","10.00","320.67"
"X20","2022-09-01","4.00","430.67"
"X24","2022-10-12","2.00","430.67"
"X27","2022-11-07","4.00","430.67"
"X29","2022-11-28","4.00","430.67"
"X32","2022-12-27","2.00","430.67"
"X35","2023-01-30","2.00","546.00"
"X38","2023-02-17","2.00","546.00"
"X40","2023-02-27","2.00","546.00"
"X41","2023-03-01","2.00","546.00"
